Street Address,Township,Erf I Portion,Sales Date,Reg Date,Sales Price,Size,R/m^2,Distance,Cash,Bedroom,Bath,Garage,HomeM
214 7TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,594 0,20211018,20220128,R 1200000,495  ,R 2 424,94,,7,7.0,2,300
77 9TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,987 0,20220110,20220215,R 950 000,495  ,R 919,123,,,,,-
212 7TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,592 0,20210716,20220309,R 1 200 000,495  ,R 2 424,103,,3,2.0,1,-
225 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,605 0,20210803,20211025,R 1 075 000,495  ,R2 172,69,,3,2.0,-,-
193 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,573 0,20211214,,R 1 500 000,495  ,R3030,248,,3,2.5,,200
276 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,942 0,20220520,,R 1 350 000,495  ,R 2727,478,,1,3.0,1,221
122 9TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1123 0,20211218,20220316,R 1 225 000,495  ,R 2475,407,,3,3.0,1,-
17 ORLANDO STREET KENSINGTON,KENSINGTON,2515 0,20220121,20220328,R 1 280 000,495  ,R 2 586,442,,3,3.0,1,237
224 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,890 0,20201224,20210407,R 1 250 000,495  ,R 2525,32,,4,2.0,1,-
66 ALBERTINA SISULU ROAD BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,977 0,20211021,20211210,R 1 420 000,495  ,R 2 869,290,,3,0.0,,264
40 10TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1148 0,20210803,20211112,R 1 100 000,495,R 2 222,231,,3,2.0,1,180
64 ALBERTINA SISULU ROAD BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,976 0,20210714,20211102,R1 250 000,495  ,R 2525,304,,6,6.0,,218
2 7TH STREET BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1131 0,20210806,20211115,R 1 300 000,495  ,R 2626,322,,4,1.0,1,269
177 7TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,285 0,20220422,,R 900 000,495  ,R 1 818,391,,3,2.0,1,-
35 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,587 0,20210226,20210624,R 1 400 000,495  ,R 2828,124,,3,2.0,2,-
258 7TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,638,20210618,20210906,R1 250 000,495  ,R 2525,328,,2,1.0,,97
83 10TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1104 0,20210919,20220309,R 950000,495  ,R 919,297,,3,3.0,1,105
68 9TH IVANUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1069 0,20210218,20210419,R 1000000,495  ,R 020,158,,4,4.0,2,-
16 11TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,1221 0,20210610,20211007,R 1325 000,543  ,R 440,303,,3,3.0,1,356
221 8TH AVENUE BEZUIDENHOUT VALLEY,BEZUIDENHOUT VALLEY,601 10,20200701,20201013,R 1 270 000,495  ,R 2566,53,,3,3.0,-,-
